All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    DRR751831_assembled_scaffolds  DRR751832_assembled_scaffolds  DRR751833_assembled_scaffolds  DRR751834_assembled_scaffolds  DRR751835_assembled_scaffolds  DRR751836_assembled_scaffolds  DRR751837_assembled_scaffolds  DRR751838_assembled_scaffolds  DRR751839_assembled_scaffolds  DRR751840_assembled_scaffolds  DRR751841_assembled_scaffolds
# contigs (>= 0 bp)         1121                           1087                           1247                           1290                           712                            885                            769                            1199                           911                            711                            913                          
# contigs (>= 1000 bp)      169                            167                            169                            167                            124                            125                            131                            198                            166                            153                            178                          
# contigs (>= 5000 bp)      98                             91                             98                             95                             76                             79                             80                             97                             78                             94                             79                           
# contigs (>= 10000 bp)     77                             77                             73                             72                             62                             65                             65                             77                             69                             72                             67                           
# contigs (>= 25000 bp)     58                             61                             59                             59                             45                             53                             52                             58                             48                             52                             50                           
# contigs (>= 50000 bp)     34                             36                             36                             36                             27                             31                             29                             35                             28                             30                             28                           
Total length (>= 0 bp)      5631150                        5739774                        5675379                        5679359                        5261236                        5200944                        5252202                        5584972                        5467267                        5167101                        5598170                      
Total length (>= 1000 bp)   5423805                        5533074                        5442722                        5438212                        5118476                        5042239                        5118339                        5357238                        5288030                        5036319                        5419773                      
Total length (>= 5000 bp)   5257622                        5352373                        5286929                        5271932                        5011211                        4939058                        4993144                        5116146                        5089495                        4899708                        5192574                      
Total length (>= 10000 bp)  5106677                        5251871                        5100434                        5103898                        4908569                        4839938                        4881426                        4977103                        5026109                        4738675                        5098875                      
Total length (>= 25000 bp)  4820188                        4976100                        4871716                        4919162                        4614102                        4681817                        4703593                        4684897                        4697097                        4423825                        4837152                      
Total length (>= 50000 bp)  3930195                        4060281                        4044159                        4113178                        3976912                        3904907                        3891642                        3840704                        3957203                        3626856                        4020913                      
# contigs                   237                            237                            240                            243                            174                            171                            173                            272                            225                            192                            232                          
Largest contig              230248                         204440                         250106                         228850                         436917                         259366                         259366                         228829                         312714                         277930                         313150                       
Total length                5468703                        5579648                        5491314                        5490188                        5152398                        5073577                        5146613                        5408608                        5327422                        5063466                        5457941                      
GC (%)                      50.34                          50.30                          50.43                          50.43                          50.57                          50.39                          50.37                          50.34                          50.51                          50.52                          50.49                        
N50                         111712                         104019                         100938                         102683                         136209                         99575                          112044                         101054                         135059                         95452                          135413                       
N90                         19024                          24150                          19610                          19609                          24168                          27013                          26127                          12702                          19156                          17023                          17938                        
auN                         105332.7                       100092.7                       104460.1                       107621.9                       169044.1                       124902.3                       127600.8                       98605.4                        143639.4                       117015.6                       142619.3                     
L50                         18                             20                             19                             18                             11                             15                             14                             20                             13                             16                             13                           
L90                         63                             63                             63                             61                             46                             49                             50                             68                             53                             59                             54                           
# N's per 100 kbp           18.29                          12.55                          18.21                          16.39                          21.35                          13.99                          15.54                          18.49                          20.65                          11.85                          23.82                        
