Sample     Contigs  Bases    CDS   misc_RNA  Repeat_Region  tRNA  tmRNA
DRR751831  178      5422481  5250  252       2              67    1
DRR751832  173      5531920  5390  254       2              69    1
DRR751833  177      5441233  5333  256       2              67    1
DRR751834  174      5436661  5339  257       2              66    1
DRR751835  133      5116645  4887  227       2              59    1
DRR751836  130      5040722  4844  221       2              66    1
DRR751837  136      5116784  4924  228       2              70    1
DRR751838  207      5356015  5180  241       2              81    1
DRR751839  175      5286283  5052  234       2              64    1
DRR751840  158      5035819  4947  241       0              71    1
DRR751841  189      5417798  5207  243       2              63    1
