"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","DRR751831","DRR751832","DRR751833","DRR751834","DRR751835","DRR751836","DRR751837","DRR751838","DRR751839","DRR751840","DRR751841"
"yihG","","1-acylglycerol-3-phosphate O-acyltransferase YihG","11","11","1","4","10","","","","569","932","806","IFAABLLP_05346","KILBOEPI_04455","HAOMLHEB_05486","GMHKIMCO_05460","FEMKLHDF_04102","FAHJDOHN_03097","PKFAGLNB_03307","DHLPIOKO_05170","MMGGOMGI_04162","COBIJBHN_02711","MMKPNOMF_04302"
"group_102","","hypothetical protein","11","11","1","1","4174","","","","197","239","204","IFAABLLP_05386","KILBOEPI_05513","HAOMLHEB_05532","GMHKIMCO_05513","FEMKLHDF_05038","FAHJDOHN_04927","PKFAGLNB_04988","DHLPIOKO_05229","MMGGOMGI_05137","COBIJBHN_05165","MMKPNOMF_05223"
"rhsD_2","","hypothetical protein","11","11","1","1","6014","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","923","4208","1427","IFAABLLP_05517","KILBOEPI_05467","HAOMLHEB_05601","GMHKIMCO_05609","FEMKLHDF_04109","FAHJDOHN_05061","PKFAGLNB_05141","DHLPIOKO_05351","MMGGOMGI_05207","COBIJBHN_04107","MMKPNOMF_04309"
"group_1035","","hypothetical protein","11","11","1","2","292","","","","320","668","571","IFAABLLP_00872","KILBOEPI_00456","HAOMLHEB_02833","GMHKIMCO_03042","FEMKLHDF_02705","FAHJDOHN_02591","PKFAGLNB_01691","DHLPIOKO_02225","MMGGOMGI_02554","COBIJBHN_04166","MMKPNOMF_02420"
"hemX","","Protein HemX","11","11","1","5","40","","","","1187","1247","1214","IFAABLLP_02849","KILBOEPI_02840","HAOMLHEB_02944","GMHKIMCO_03153","FEMKLHDF_03126","FAHJDOHN_02864","PKFAGLNB_03174","DHLPIOKO_02722","MMGGOMGI_03144","COBIJBHN_02569","MMKPNOMF_03333"
"ndhB","","NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic","11","11","1","1","3812","","","","1166","1586","1534","IFAABLLP_00280","KILBOEPI_00747","HAOMLHEB_00541","GMHKIMCO_00540","FEMKLHDF_01789","FAHJDOHN_00978","PKFAGLNB_01054","DHLPIOKO_01782","MMGGOMGI_01526","COBIJBHN_02319","MMKPNOMF_01529"
"group_1108","","hypothetical protein","11","11","1","1","334","","","","1055","1055","1055","IFAABLLP_00015","KILBOEPI_00185","HAOMLHEB_00445","GMHKIMCO_00416","FEMKLHDF_04054","FAHJDOHN_04343","PKFAGLNB_04365","DHLPIOKO_00016","MMGGOMGI_04121","COBIJBHN_04002","MMKPNOMF_04230"
"group_1110","","hypothetical protein","11","11","1","1","349","","","","320","320","320","IFAABLLP_00025","KILBOEPI_00175","HAOMLHEB_00435","GMHKIMCO_00406","FEMKLHDF_04044","FAHJDOHN_04352","PKFAGLNB_04356","DHLPIOKO_00026","MMGGOMGI_04131","COBIJBHN_04012","MMKPNOMF_04240"
"sctN","","Type 3 secretion system ATPase","11","11","1","1","350","","","","1340","1340","1340","IFAABLLP_00026","KILBOEPI_00174","HAOMLHEB_00434","GMHKIMCO_00405","FEMKLHDF_04043","FAHJDOHN_04353","PKFAGLNB_04355","DHLPIOKO_00027","MMGGOMGI_04132","COBIJBHN_04013","MMKPNOMF_04241"
"group_1112","","hypothetical protein","11","11","1","1","352","","","","353","353","353","IFAABLLP_00028","KILBOEPI_00172","HAOMLHEB_00432","GMHKIMCO_00403","FEMKLHDF_04041","FAHJDOHN_04355","PKFAGLNB_04353","DHLPIOKO_00029","MMGGOMGI_04134","COBIJBHN_04015","MMKPNOMF_04243"
